Question_Number,Response
Q1_Age,23
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Zhejiang / 浙江 / 浙江省
Q4_Num_L1,2
Q4_L1_Languages,Mandarin / 普通話 / 標準中国語; Wu Chinese / 吳語 / 呉語
Q5_Num_Languages,2
Q5_Languages,Japanese / 日語 / 日本語 / 日本語; English / 英語 / 英語
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,YES
11,High
12,High
13,Low
14,High
15,Low
16,Low
17,Low
18,High
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ak
28,ak
29,ap
30,ap
31,ah
32,ap
33,ap
34,ap
35,ah
36,at
37,at
38,ah
39,ah
40,ah
41,at
42,ak
43,lak
44,pak
45,tat
46,tak
47,tsat
48,bah
49,lah
50,kak
