Question_Number,Response
Q1_Age,19
Q2_Gender,Female
Q3_Country,South Korea / 韓國 / 韓国
Q3_Region,Seoul / 首爾 / ソウル / 서울
Q4_Num_L1,2
Q4_L1_Languages,"Korean / 韓語 / 韓国語 / 한국어; Japanese / 日語 / 日本語 / 日本語"
Q5_Num_Languages,1
Q5_Languages,"Japanese / 日語 / 日本語 / 日本語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,YES
11,Low
12,High
13,Low
14,Low
15,High
16,Low
17,Low
18,High
19,Low
20,High
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ap
28,ap
29,ak
30,at
31,ah
32,at
33,ap
34,ap
35,ah
36,at
37,ak
38,ah
39,ak
40,ah
41,at
42,at
43,lak
44,pak
45,tah
46,tap
47,tsap
48,bah
49,lah
50,kak
