Question_Number,Response
Q1_Age,21
Q2_Gender,Female
Q3_Country,Japan / 日本 / 日本
Q3_Region,Tokyo / 東京 / 東京都
Q4_Num_L1,1
Q4_L1_Languages,"Japanese / 日語 / 日本語 / 日本語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,High
15,High
16,High
17,Low
18,Low
19,High
20,High
21,Low
22,Low
23,High
24,High
25,Low
26,High
27,at
28,at
29,ak
30,ap
31,ah
32,ak
33,ap
34,ap
35,ah
36,ap
37,at
38,ah
39,at
40,ap
41,ak
42,at
43,lap
44,pak
45,tap
46,tah
47,tsak
48,bak
49,lat
50,kap
